"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999"
"13380","Bellingham, WA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",996713,1078348,1133041,1242287,1327116,1418833,1522449,1620055,1754371,1979145,2262361,2452464,2607648,2718753,2901284,3067945,3318052,3505782,3780621,3967522
"13380","Bellingham, WA (Metropolitan Statistical Area)","2","Population (persons) 1/",107222,109096,109885,110630,111294,112441,113262,115361,119002,123294,129111,133823,138957,143669,147593,151369,155134,158133,160988,164566
"13380","Bellingham, WA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",9296,9884,10311,11229,11924,12618,13442,14043,14742,16052,17523,18326,18766,18924,19657,20268,21388,22170,23484,24109
"13460","Bend, OR (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",573952,618235,640723,709259,791075,857434,914324,978932,1091408,1226870,1392418,1539726,1680779,1848330,1982640,2150396,2353833,2516282,2760623,2951696
"13460","Bend, OR (Metropolitan Statistical Area)","2","Population (persons) 1/",62365,63130,63031,62516,63839,64959,66160,66862,68882,71415,76053,80456,84199,88061,91393,95491,99362,102581,106820,111933
"13460","Bend, OR (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",9203,9793,10165,11345,12392,13200,13820,14641,15845,17179,18309,19137,19962,20989,21694,22519,23689,24530,25844,26370
"13740","Billings, MT (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",1253096,1418994,1537907,1633178,1756357,1807258,1811650,1856371,1924229,2083790,2186194,2329100,2486328,2644898,2798809,2945662,3079337,3232424,3459330,3566623
"13740","Billings, MT (Metropolitan Statistical Area)","2","Population (persons) 1/",122320,124281,127232,130476,133163,133865,133004,130848,128914,128242,128207,130091,133388,136715,139406,141662,143283,144327,144892,146331
"13740","Billings, MT (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",10244,11418,12087,12517,13190,13501,13621,14187,14926,16249,17052,17904,18640,19346,20077,20794,21491,22397,23875,24374
"13780","Binghamton, NY (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",2454074,2732896,3013449,3222929,3580021,3788498,3961533,4170309,4420720,4747737,4923618,5086610,5278830,5271085,5307142,5426728,5583950,5785985,5899114,6174221
"13780","Binghamton, NY (Metropolitan Statistical Area)","2","Population (persons) 1/",263639,263859,264005,263473,263182,264719,263651,262266,263797,264388,264731,265632,266571,265993,264082,260079,256702,254213,253235,252773
"13780","Binghamton, NY (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",9308,10357,11414,12232,13603,14311,15026,15901,16758,17957,18599,19149,19803,19817,20097,20866,21753,22760,23295,24426
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",7864860,8558555,9029780,9593369,10537454,11380654,12057973,12786006,13844671,15132104,16247484,17052102,18289671,19159865,20480488,21864203,23084934,24353392,26013864,27168155
